id,name,map_url,img_url,location,has_sockets,has_toilet,has_wifi,can_take_calls,seats,coffee_price,latitude,longitude
1,Science Gallery London,https://g.page/scigallerylon?share,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNo2iJnmHACUwbi9oWnVIlZD2K8DN0LncFy_UHqqTvZw0XrCcGK0_TJ0aTh95gRNckWZDBWAj3rw7MgCu4hPe2DPBwzlqNLbsx4GGtzQiFft8gWAJrHwO0zNOEkPg2LG9CgOOT=s680-w680-h510-rw,London Bridge,1,1,0,1,50+,£2.40,51.504326325541,-0.0873929202389262
2,Social - Copeland Road,https://g.page/CopelandSocial?share,https://images.squarespace-cdn.com/content/v1/5734f3ff4d088e2c5b08fe13/1555848382269-9F13FE1WQDNUUDQOAOXF/ke17ZwdGBToddI8pDm48kAeyi0pcxjZfLZiASAF9yCBZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpzV8NE8s7067ZLWyi1jRvJklJnlBFEUyq1al9AqaQ7pI4DcRJq_Lf3JCtFMXgpPQyk/copeland-park-bar-peckham,Peckham,1,1,1,0,20-30,£2.75,51.4700064734149,-0.0666850509252796
3,One & All Cafe Peckham,https://g.page/one-all-cafe?share,https://lh3.googleusercontent.com/p/AF1QipOMzXpKAQNyUvrjTGHqCgWk8spwnzwP8Ml2aDKt=s0,Peckham,1,1,1,0,20-30,£2.75,51.4872907979738,-0.0717774763922782
4,Old Spike,"https://www.google.com/maps/place/Old+Spike+Roastery/@51.4651552,-0.0666088,17z/data=!4m12!1m6!3m5!1s0x487603a3a7dd838d:0x4105b39b30a737cf!2sOld+Spike+Roastery!8m2!3d51.4651552!4d-0.0666088!3m4!1s0x487603a3a7dd838d:0x4105b39b30a737cf!8m2!3d51.4651552!4d-0.0666088",https://lh3.googleusercontent.com/p/AF1QipPBAt6bYna7pv5c7e_PhCDPMKPb6oFf6kMT2VQ1=s0,Peckham,1,0,1,0,0-10,£2.80,51.4653256407251,-0.0665712490747204
5,Fuckoffee Bermondsey,https://goo.gl/maps/ugP2B1AV7FELHSgn6,https://lh3.googleusercontent.com/p/AF1QipM9Dz_QMkOF2da1aNLuTzS_vPvVWBnE84rZLK_G=s0,Bermondsey,1,1,1,0,20-30,£2.65,51.499415634397,-0.0810826355821029
6,Mare Street Market,https://goo.gl/maps/DWnwaeeiwdYsBkEH9,https://lh3.googleusercontent.com/p/AF1QipN-C650VmJ1XZhzOIBTg1bUu3_to_GHpyrmUplt=s0,Hackney,1,1,1,0,50+,£2.80,51.5380008958251,-0.0572171067463087
7,Ace Hotel Shoreditch,https://g.page/acehotellondon?share,https://lh3.googleusercontent.com/p/AF1QipP_NbZH7A1fIQyp5pRm1jOGwzKsDWewaxka6vDt=s0,Shoreditch,1,1,1,0,50+,£3.00,51.5255461400221,-0.0773379220894854
8,Goswell Road Coffee,https://goo.gl/maps/D9nXNYK3fa1cxwpK8,https://lh3.googleusercontent.com/p/AF1QipPnOfo7wTICdiAyybF3iFhD3l5aoQjSO-GErma1=s0,Clerkenwell,1,1,1,0,10-20,£2.10,51.5259027891138,-0.0995901797610738
9,The Southwark Cathedral Cafe,https://goo.gl/maps/LU1imQzBCRLFBxKUA,https://lh3.googleusercontent.com/p/AF1QipMrdTyRRozGBltwxAseQ4QeuNhbED6meQXlCPsx=s0,London Bridge,1,1,1,1,20-30,£2.30,51.5065728632962,-0.0893638509252796
10,Trade Commercial Road,https://goo.gl/maps/v5tzRBVhPFueYp4x6,https://lh3.googleusercontent.com/p/AF1QipNtHqqIc3kwhpjknrVcMdkhmpA77LDYKmpOJlxf=s0,Whitechapel,0,1,1,0,20-30,£2.70,51.5175777876672,-0.0738096779105146
